Measurements,Maths,Mechanics,POM,Electricity,Thermodynamics,Computer,Maths2,Programming,Fluid,Electronics,Manufacturing,Drawing,Department
A-,A,A,A,A-,A-,A-,A,B+,B+,A,A,B,CO
A-,A,A,A+,A-,A+,A-,B+,A-,B,A,A,A-,EE
B+,A-,A,A,A,B,A-,B,A-,B,B+,A-,B+,EE
B,A-,A,A-,B,B+,A,B-,B+,B,B-,B,B,ME
A,A+,A+,A,A-,A+,A,A,A,B,A,A,B-,EE
A,A,A,A,A-,B+,A-,B-,A,A-,B+,A-,A,EE
B-,A-,B+,B,B+,B+,B-,A,A-,B,A-,B+,B,EE
B,B+,A-,A,B,A-,B+,B,B+,B+,B,A-,B,EE
A,B+,B-,A-,B+,A,A,C+,B+,B,B+,A+,B,CO
A-,A,A,A+,A,A,A,A-,A,B+,A,B,C+,CO
A,A+,B+,A,A,B+,A-,A,B+,B+,A,A-,B,EE
B+,B+,A-,B+,B+,B+,A,B,A-,B-,B+,B,B-,ME
C+,B,A-,B+,B,B-,B,B,A-,B-,B,C+,B-,ME
B+,A,B+,B+,B+,B-,B-,A-,R,B,B+,B,R,CE
A-,A,B+,B+,B+,A,B-,A-,A-,B,B+,B,B,CO
B+,B,B,A+,B,B,A-,C,A,B,B+,B+,B-,ME
B,B,B-,B,C+,C+,B-,R,B,R,R,B,B,CE
B,B+,B+,B,B+,B,B,B,B+,B,B,B,B-,ME
B,A,A-,A,B,C+,R,A-,A-,B,A-,A-,B+,EE
B,A,A-,B+,B+,B,B+,B+,B+,B,B+,B+,C,CE
B-,B+,A-,B,B-,R,B,B-,R,B-,B,B-,B-,CE
A-,A,B+,A+,B+,B+,A-,B,A,B,A,B,B,CO
A,A,A,A,A-,B+,A-,A-,A-,B+,B+,A-,A-,CO
B,A,B+,A-,A,B,B+,B,B+,B,B,C+,B,ME
B+,A,A-,A,A-,B,B+,B-,A-,B,A-,B,B,CO
R,B,B+,B,B,B-,R,B-,B+,B,B,R,B,CE
B,R,B,B-,B,R,C,B,B+,R,B,B,B,CE
B+,A,A,B,A-,B+,B,B,B+,B+,B+,B,B+,EE
A,A+,A,A,A,A+,A,A,A,A,A+,A,B+,CO
B+,A,A,B+,A-,B,B,C+,A-,B,B,B,R,ME
B+,A,A-,B+,B+,B+,A+,A,A,B+,B,B-,A,CO
B,A,B+,B,B,B,B+,B,A,B,B,B-,A-,ME
B,R,B,B,B-,B,C+,B,B+,B+,B-,B-,B+,CE
A,A,A,A,A-,A,A,B,A-,B,R,B+,C,ME
B,A,A,A,A-,B+,A-,A-,A-,B,B+,A,A-,EE
B,B+,A-,A,B+,B,B+,B,A,B+,B-,B,C,ME
B+,A,A,A-,B,B,B,A-,B+,A-,B+,B,B,CO
B,B,B,B,B+,B,A-,B+,B+,B,B,B+,B+,ME
B,B+,B,A-,B,B+,A-,B+,B+,B,B-,B-,B-,ME
A-,A,B,A-,A-,B+,B+,B,B,B+,B-,B+,A-,EE
A,A-,A-,B+,B+,A,B+,B,A-,B+,B,B+,B,ME
B+,A,A,A,B+,A,B,B+,B+,B-,B+,B-,B-,EE
A-,R,A-,A,B+,B+,A,B-,B,B,B-,B,B,ME
B+,B,B-,A,B+,B,B+,B,A-,B,B,B,B+,ME
B,R,B+,A,B+,B+,A-,C+,A-,B-,B,B-,C,CE
B,A,A-,B+,B,C,C+,B+,B,B-,B,B+,R,CE
B+,B+,A,A-,B+,B+,B+,A,C,B+,B,B,R,ME
A-,A,A,A,A-,A,A,B,B+,B,B,A-,C,CO
